POPS_Number,Name,Street,Zipcode,Latitude,Longitude,Borough,Borocode,Type,Location,Open_Hours,Seating,Seating_and_Tables,Food_Service,Art,Restrooms,Special_Amenities,Special_Amenities_Description,Signage,Landscaping_Description,Landscaping,Physically_Disabled,Year_Completed,Construction_Status,Size_Required,Community Board,Developer,Building_Architect,Principal_Public_Space_Designer,XCoordinate,YCoordinate,Council District,Census Tract,BIN,BBL,NTA,Tax_Block_Number,Tax_Lot_Number
M060039,New York Helmsley Hotel,EAST 42 STREET,10017,-73.973982,40.750107,Manhattan,1,Urban Plaza,South side of East 42nd Street between Second and Third Avenues,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Trees on Street; Trees within Space,Yes,Full/Partial,1980,Completed,Urban Plaza 3040.00 sf,6,Harry B. Helmsley,Emery Roth & Sons,Emery Roth & Sons,991459,212562,4,88,1037547,1013150044,Turtle Bay-East Midtown,1315,44
K020006,NULL,LIVINGSTON STREET,11201,-73.989806,40.691476,Brooklyn,3,Plaza,Northwest corner of Livingston Street and Boerem Place,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 9920.00 sf,2,NULL,NULL,NULL,987077,191200,33,9,3002555,3002660001,Brooklyn Heights-Cobble Hill,266,1
M060057,Brevard,EAST 54 STREET,10022,-73.966795,40.757849,Manhattan,1,Plaza; Residential Plaza,West side of Second Avenue between East 54th and 55th Streets,24 Hours; Restricted Hours,Yes,Yes,Yes,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1974,Completed,Plaza 3358.30 sf; Residential Plaza 5755.48 sf,6,NULL,Philip Birnbaum,Sidney Philip Gilbert & Associates,993449,215383,4,108,1038575,1013280021,Turtle Bay-East Midtown,1328,21
M010049,NULL,CLIFF STREET,10038,-74.005634,40.708374,Manhattan,1,Urban Plaza,Southwest corner of Ryder's Alley and Eden's Alley,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2001,Completed,Urban Plaza 3565.00 sf,1,Rose Associates,Avinash K. Malhotra,Avinash K. Malhotra; Weintraub Diaz Landscape Architecture PLLC (2016 design change),982688,197356,1,15.02,1085931,1000767501,Battery Park City-Lower Manhattan,76,7501
M050024,Warburg Dillon Read,MADISON AVENUE,10022,-73.973277,40.76043,Manhattan,1,Arcade; Urban Plaza,Northeast corner of East 54th Street and Madison Avenue,24 Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Food Service; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1982,Completed,Arcade 1700.00 sf; Urban Plaza 4869.30 sf,5,"Park Tower Associates, Madison Ave. Associates",Edward Larrabee Barnes,Edward Larrabee Barnes; Zion Breen & Richardson Associates (for alteration in 2009),991653,216323,4,102,1035747,1012900021,Midtown-Midtown South,1290,21
M060083,Carlton Regency,EAST 36 STREET,10016,-73.978378,40.747756,Manhattan,1,Plaza,Northeast corner of Lexington Avenue and East 36th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Plaza 3355.48 sf,6,NULL,Lyras & Anaya,Lyras & Anaya,990241,211705,4,80,1018953,1008920025,Murray Hill-Kips Bay,892,25
M040004,One Worldwide Plaza,EIGHTH AVENUE,10019,-73.986943,40.76223,Manhattan,1,Elliptical Arcades; Plaza; Subway Access Areas,"Entire block bounded by Eighth Avenue, Ninth Avenue, West 49th Street and West 50th Street",24 Hours; Restricted Hours,Yes,Yes,Yes,No,Yes,NULL,Bicycle Parking; Drinking Fountain; Escalator; Food Service; Lighting; Litter Receptacles; Programs; Restrooms; Retail Frontage; Subway,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1989,Completed,Elliptical Arcades 0.00 sf; Plaza 26806.00 sf; Subway Access Areas 0.00 sf,4,William Zeckendorf Jr./ZCWK Associates/NY Communications Developer,"Skidmore, Owings & Merrill and Frank Williams & Asscociates (residential)",SWA Group; Mathews Nielsen Landscape Architects (for alteration in 2002),987867,216978,3,127,1076203,1010400029,Clinton,1040,29
M060005,Dumont Plaza,EAST 34 STREET,10016,-73.979288,40.745895,Manhattan,1,Residential Plaza,South side of East 34th Street between Third and Lexington  Avenues,24 Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1987,Completed,Residential Plaza 3516.00 sf,6,NULL,Goldhammer Wittenstein Good,Anthony G. Piscopia,989989,211027,2,72,1018507,1008890055,Murray Hill-Kips Bay,889,55
Q070001,Flushing Commons,39 AVENUE,11354,-73.827713,40.761235,Queens,4,Publicly Accessible Open Space,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Completed,NULL,7,NULL,NULL,NULL,1031978,216662,20,871,4607310,4049787502,Flushing,4978,7502
M060025,Manhattan Place,FIRST AVENUE,10016,-73.971836,40.745155,Manhattan,1,Residential Plaza,Full blockfront on east side of First Avenue between East 36th and 37th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,None,1984,Completed,Residential Plaza 16390.45 sf,6,"Jeffrey Glick, Ralph Mallin, Belmo Realty Co.",Philip Birnbaum & Associates,Balsley Associates,992054,210758,4,86.01,1022060,1009687501,Turtle Bay-East Midtown,968,7501
M080093,NULL,SECOND AVENUE,10128,-73.946954,40.783875,Manhattan,1,Arcade,East side of Second Avenue between East 95th and 96th Streets. Original BBL: 1558/85.,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1987,Completed,Arcade 1500.00 sf,8,NULL,"Weisberg, Castro Associates","Weisberg, Castro Associates",998940,224868,5,156.01,1050342,1015580050,Yorkville,1558,50
M050008,Solow,WEST 57 STREET,10019,-73.974991,40.763886,Manhattan,1,Arcade; Plaza,North side of West 57th Street between Fifth and Sixth Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Arcade 10970.90 sf; Plaza 17596.90 sf,5,Solow Building Co.,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",991178,217582,4,112.01,1035071,1012730022,Midtown-Midtown South,1273,22
M080044,Highgate,EAST 95 STREET,10128,-73.950341,40.784371,Manhattan,1,Residential Plaza,Southwest corner of Third Avenue and East 95th Street. Additional lot: 1523/34-40.,24 Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1980,Completed,Residential Plaza 5220.00 sf,8,NULL,"Jarmul, Brizee & Levitt","Jarmul, Brizee & Levitt",998002,225048,5,158.01,1087328,1015230034,Upper East Side-Carnegie Hill,1523,34
M080004,Royale,EAST 64 STREET,10065,-73.964843,40.764499,Manhattan,1,Residential Plaza,Full blockfront on west side of Third Avenue between East 63rd and 64th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1987,Completed,Residential Plaza 6667.00 sf,8,NULL,"Schuman, Lichtenstein, Claman, Efron",Quennell Rothschild Associates,993989,217806,4,120,1042137,1013987501,Upper East Side-Carnegie Hill,1398,7501
M060072,Landmark,EAST 59 STREET,10022,-73.964228,40.760167,Manhattan,1,Arcade; Plaza,Southeast corner of Second Avenue and East 59th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1974,Completed,Arcade 1860.00 sf; Plaza 11600.00 sf,6,Nathan Kalikow,Liebman Liebman Associates,Mark Morrison Assoc.,994160,216228,5,108,1040031,1013510001,Turtle Bay-East Midtown,1351,1
M080062,Waterford,EAST 93 STREET,10128,-73.948325,40.781993,Manhattan,1,Residential Plaza,"Southeast corner of Second Avenue and East 93rd Street. Original BBL: 1555/3 ,4, 5, 1101-1323.",Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1987,Completed,Residential Plaza 4962.00 sf,8,NULL,Beyer Blinder Belle,Thomas Balsley Associates,998561,224182,5,154,1073539,1015557501,Yorkville,1555,7501
M010014,NULL,WALL STREET,10005,-74.007581,40.704676,Manhattan,1,Arcade; Plaza,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Arcade 2446.00 sf; Plaza 1963.00 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,982148,196009,1,7,1000864,1000330011,Battery Park City-Lower Manhattan,33,11
M010024,NULL,HANOVER SQUARE,10004,-74.009659,40.704056,Manhattan,1,Arcade; Through Block Arcade,South side of Hanover Square between Water and Pearl Streets,24 Hours,No,No,NULL,No,NULL,NULL,Lighting; Retail Frontage,Yes,Planting,Yes,Full/Partial,1983,Completed,Arcade 5349.06 sf; Through Block Arcade 7467.13 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,981572,195783,1,9,1000855,1000307501,Battery Park City-Lower Manhattan,30,7501
M050069,New York Merchandise Mart,MADISON AVENUE,10010,-73.986269,40.742383,Manhattan,1,Arcade; Plaza,Southeast corner of East 26th Street and Madison Avenue,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting,Yes,Full/Partial,1972,Completed,Arcade 571.95 sf; Plaza 4785.00 sf,5,Samuel Rudin,Emery Roth & Sons,Emery Roth & Sons; Fox and Fowle Architects (for alteration in 2002),988055,209747,2,56,1016749,1008550037,Hudson Yards-Chelsea-Flatiron-Union Square,855,37
M070029,Riverside Center,WEST 59 STREET,10019,-73.991804,40.772677,Manhattan,1,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,7,NULL,NULL,NULL,986520,220784,6,151,1089374,1011710157,Lincoln Square,1171,157
M010059,Mandarin Plaza,BROADWAY,10013,-74.002814,40.717714,Manhattan,1,Residential Plaza,East side of Broadway between White Street and Franklin Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1990,Completed,Residential Plaza 3752.00 sf,1,Tommy Lee and William Co.,Daniel Pang Associates Architects and Planners,"Daniel Pang Associates Architects and Planners, Engel/GGP Landscape Architects",983470,200759,1,31,1001866,1001727501,SoHo-TriBeCa-Civic Center-Little Italy,172,7501
M050107,The Capitol at Chelsea,SIXTH AVENUE,10001,-73.990772,40.744914,Manhattan,1,Urban Plaza,"Full blockfront east side of Sixth Avenue between West 27th Street and West 26th Street. Original BBL: 828/1,4,5,74,77,80.",Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,2002,Completed,Urban Plaza 10147.00 sf,5,NULL,Costas Kondylis,Thomas Balsley Associates,986807,210669,3,58,1015632,1008280001,Hudson Yards-Chelsea-Flatiron-Union Square,828,1
M060088,NULL,LEXINGTON AVENUE,10017,-73.974948,40.752246,Manhattan,1,Urban Plaza,Full blockfront on east side of Lexington Avenue between East 43rd and 44th Streets,Restricted Hours,Yes,Yes,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1987,Completed,Urban Plaza 4548.12 sf,6,Olympia & York Properties,Murphy/Jahn,David Kenneth Spector,991191,213341,4,92,1036162,1012980023,Turtle Bay-East Midtown,1298,23
M010007,NULL,WILLIAM STREET,10038,-74.007199,40.708346,Manhattan,1,Covered Pedestrian Space,Full blockfront on east side of William Street bounded by Platt and John Streets,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Retail Frontage,Yes,NULL,No,Full/Partial,1973,Completed,Covered Pedestrian Space 5242.00 sf,1,NULL,Emery Roth & Sons,"Emery Roth & Sons; Rogers Marvel Architects, PLLC (for alteration in 2010)",982254,197346,1,15.02,1001116,1000680036,Battery Park City-Lower Manhattan,68,36
M050045,NULL,PARK AVENUE,10017,-73.975094,40.756418,Manhattan,1,Plaza,West side of Park Avenue between East 48th and 49th Streets,24 Hours,Yes,Yes,Yes,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1968,Completed,Plaza 17603.00 sf,5,Rose Associates,Emery Roth & Sons,Emery Roth & Sons; TSC Design (for alteration in 2009); Mathews Nielsen (for alteration in 2013),991150,214861,4,94,1035441,1012840033,Midtown-Midtown South,1284,33
M050075,Flatotel,WEST 52 STREET,10019,-73.980893,40.762046,Manhattan,1,Through Block Galleria,North side of West 52nd Street between Sixth and Seventh Avenues,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Water Feature,Yes,Full/Partial,1985,Completed,Through Block Galleria 6450.23 sf,5,East/West Associates,Rafael Vinoly,"Rafael Vinoly, MPFP Landscape Architects PLLC (for 2016 design change)",989543,216911,4,131,1023160,1010057501,Midtown-Midtown South,1005,7501
M010019,NULL,BROAD STREET,10004,-74.011047,40.705277,Manhattan,1,Arcade,Northeast corner of Broad and Beaver Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Arcade 4089.00 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,981187,196228,1,9,1000821,1000250001,Battery Park City-Lower Manhattan,25,1
M040013,Clinton Green,WEST 52 STREET,10019,-73.991004,40.766241,Manhattan,1,Linear Open Space; Open Space,"Approval consists of multiple BBL's including Block 1080, part of Lot 25; Block 1081, Lot 39 and part of Lot 29.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,4,NULL,NULL,NULL,986742,218439,3,135,1081740,1010810029,Clinton,1081,29
M060034,NULL,THIRD AVENUE,10022,-73.968094,40.760198,Manhattan,1,Plaza,Southwest corner of Third Avenue and East 57th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1971,Completed,Plaza 2305.00 sf,6,Greenwich Savings Bank,Kahn and Jacobs,Kahn and Jacobs,993089,216239,4,112.03,1036882,1013110040,Turtle Bay-East Midtown,1311,40
M060061,International Plaza,EAST 43 STREET,10017,-73.971256,40.75056,Manhattan,1,Residential Plaza,Northeast corner of Second Avenue and East 43rd Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1984,Completed,Residential Plaza 3347.33 sf,6,NULL,Avinash Malhotra,Avinash Malhotra,992214,212727,4,88,1038674,1013367501,Turtle Bay-East Midtown,1336,7501
M050112,432 Park Avenue,PARK AVENUE,10022,-73.971797,40.7615,Manhattan,1,Public Plaza,"Southwest of East 57th Street between Madison Avenue and Park Avenue. Original BBL: 1292/33,41,42.",24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2017,Completed,Public Plaza 6340.69 sf,5,"CIM Group, Macklowe Properties",Rafael Vinoly and SLCE Architects,"Rafael Vinoly, SLCE Architects, and Zion Breen and Richardson",992063,216713,4,112.02,1088817,1012927502,Midtown-Midtown South,1292,7502
M080080,One East River Place,EAST 72 STREET,10021,-73.952113,40.766492,Manhattan,1,Public Park,North side of East 72nd Street between FDR Drive and York Avenue,Restricted Hours,Yes,Yes,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1988,Completed,Public Park 4904.00 sf,8,Solow Building Co.,"Davis, Brody & Associates","Davis, Brody & Associates",997515,218534,5,124,1000000,1014840016,Lenox Hill-Roosevelt Island,1484,16
M010054,30 Park Place,CHURCH STREET,10007,-74.009036,40.712776,Manhattan,1,Public Plaza,East side of Church Street between Park Place and Barclay Street,24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,2017,Completed,Public Plaza 8403.00 sf,1,Silverstein Properties,Robert A.M. Stern,"SLCE Architects and Lee Weintraub, Landscape Architect",981745,198960,1,21,1089428,1001237502,SoHo-TriBeCa-Civic Center-Little Italy,123,7502
M050003,General Motors Building,FIFTH AVENUE,10153,-73.972435,40.763609,Manhattan,1,Arcade; Plaza,East side of Fifth Avenue between East 58th and 59th Streets,24 Hours,Yes,Yes,NULL,Yes,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1968,Completed,Arcade 1971.00 sf; Plaza 19730.00 sf,5,NULL,Edward Durell Stone,Edward Durell Stone; Thomas Balsley Associates (for alteration in 1999); Moed de Armas & Shannon Architects P.C. (for alteration in 2004 and 2011); MPFP & Mathews Nielsen (for design change and reduction in 2017),991886,217481,4,112.02,1036082,1012940001,Midtown-Midtown South,1294,1
M080039,Evans Tower,EAST 84 STREET,10028,-73.955231,40.777876,Manhattan,1,Residential Plaza,Northwest corner of Third Avenue and East 84th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1986,Completed,Residential Plaza 4249.74 sf,8,Legent Realty Co.,Philip Birnbaum,Philip Birnbaum; Thomas Balsley Associates,996649,222681,5,148.01,1047704,1015137501,Upper East Side-Carnegie Hill,1513,7501
M080033,Park 900,PARK AVENUE,10075,-73.960695,40.776088,Manhattan,1,Plaza,Northwest corner of Park Avenue and East 79th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1973,Completed,Plaza 5076.00 sf,8,NULL,Philip Birnbaum,Philip Birnbaum,995136,222029,4,142,1046471,1014917501,Upper East Side-Carnegie Hill,1491,7501
M070013,NULL,WEST 66 STREET,10023,-73.979753,40.772399,Manhattan,1,Arcade; Plaza,South side of West 66th Street between Central Park West and Columbus Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Arcade 530.41 sf; Plaza 9387.32 sf,7,Gettysburg Company,Ralph E. Leff,Ralph E. Leff,989858,220683,6,149,1028163,1011180022,Lincoln Square,1118,22
M060029,NULL,THIRD AVENUE,10017,-73.971785,40.755012,Manhattan,1,Sidewalk Widening; Urban Plaza,West side of Third Avenue between East 48th and 49th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Trees on Street; Trees within Space,Yes,None,1984,Completed,Sidewalk Widening 2882.00 sf; Urban Plaza 3745.50 sf,6,Cohen Brothers; Cadillac Fairview,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",992067,214349,4,92,1036228,1013030033,Turtle Bay-East Midtown,1303,33
M080023,NULL,EAST 74 STREET,10021,-73.957212,40.769607,Manhattan,1,Plaza,Southeast corner of Second Avenue and East 74th Street,Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,No,Planting,Yes,Full/Partial,1967,Completed,Plaza 5960.00 sf,8,NULL,H.I. Feldman,"H.I. Feldman; Devon Architects, P.C. (for alteration in 2005)",996102,219668,5,126,1089033,1014480003,Lenox Hill-Roosevelt Island,1448,3
M050065,Three Park Avenue,PARK AVENUE,10016,-73.981075,40.746511,Manhattan,1,Arcade; Plaza,Full blockfront on east side of Park Avenue between East 33rd and 34th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Arcade 2761.00 sf; Plaza 8862.00 sf,5,NULL,Shreve Lamb & Harmon,Shreve Lamb & Harmon,989494,211251,2,72,1087537,1008897501,Murray Hill-Kips Bay,889,7501
K020009,NULL,JAY STREET,11201,-73.986566,40.698099,Brooklyn,3,Public Plaza,Building located on the east side of Jay Street between Concord Street and Nassau Street,24 Hours,Yes,No,Yes,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,0,Under Construction,Public Plaza 10405.00 sf,2,NULL,NULL,Scape Landscape Architecture PLLC,987975,193613,33,13,3426023,3001077501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,107,7501
M050102,London Hotel,WEST 54 STREET,10019,-73.980467,40.763465,Manhattan,1,Through Block Connection,"North side of West 54th Street between Sixth and Seventh Avenues. Additional lot: 1007/5, 58.",Restricted Hours,No,No,NULL,No,NULL,NULL,Lighting,Yes,No,NULL,Full/Partial,1990,Completed,Through Block Connection 3012.45 sf,5,"William Zeckendorf, Jr.",Frank Williams & Associates,Frank Williams & Associates,989661,217428,4,137,1069590,1010070005,Midtown-Midtown South,1007,5
M010042,NULL,BATTERY PLACE,10004,-74.015837,40.7056,Manhattan,1,Arcade; Plaza,Full blockfront on north side of Battery Plaza between Western Union International Plaza and West Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Arcade 6472.00 sf; Plaza 11534.37 sf,1,NULL,Morris Lapidus,Morris Lapidus,979859,196346,1,13,1082634,1000157501,Battery Park City-Lower Manhattan,15,7501
M050079,NULL,EAST 57 STREET,10022,-73.969367,40.761387,Manhattan,1,Open Park Space; Plaza,Northwest corner of East 57th Street and Lexington Avenue,24 Hours; Restricted Hours,Yes,Yes,Yes,No,NULL,NULL,Food Service; Lighting; Litter Receptacles,Yes,Planting; Trees within Space; Water Feature,Yes ,Full/Partial,1987,Completed,Open Park Space 2500.00 sf; Plaza 4820.00 sf,5,Madison Lexington Venture,Kohn Pedersen Fox,"Kohn Pedersen Fox; Thomas Balsley Associates (for Open Park Space, west of building)",992736,216672,4,112.03,1036904,1013120015,Turtle Bay-East Midtown,1312,15
M050049,NULL,FIFTH AVENUE,10017,-73.978242,40.756268,Manhattan,1,Covered Pedestrian Space,Southeast corner of East 47th Street and Fifth Avenue,Restricted Hours,Yes,Yes,Yes,Yes,Yes,NULL,Climate Control; Drinking Fountain; Food Service; Lighting; Restrooms; Retail Frontage,Yes,Planting,Yes,Full/Partial,1983,Completed,Covered Pedestrian Space 3442.00 sf,5,575 Fifth Associates,Emery Roth & Sons,Emery Roth & Sons; Gensler and Moed de Armas & Shannon Architects (for alteration in 2007),990278,214806,4,94,1035407,1012827501,Midtown-Midtown South,1282,7501
M050015,NULL,MADISON AVENUE,10022,-73.973042,40.762105,Manhattan,1,Arcade; Covered Pedestrian Space; Seating Area; Through Block Arcade; Urban Plaza,Southwest corner of East 57th Street and Madison Avenue,24 Hours; Closing for Events; Restricted Hours,Yes,Yes,Yes,Yes,NULL,NULL,Food Service; Lighting; Litter Receptacles; Retail Frontage,Yes,Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1982,Completed,Arcade 1851.00 sf; Covered Pedestrian Space 8261.00 sf; Seating Area 0.00 sf; Through Block Arcade 4669.00 sf; Urban Plaza 1821.00 sf,5,NULL,Edward Larrabee Barnes,Edward Larrabee Barnes; Zion and Breen; Robert A. M. Stern (for alteration in 1995),991718,216933,4,112.02,1035778,1012920015,Midtown-Midtown South,1292,15
M080037,Kenilworth,EAST 80 STREET,10075,-73.95736,40.77489,Manhattan,1,Plaza,South side of East 80th Street between Third and Lexington Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Plaza 3655.00 sf,8,Kalikow Construction Corp.,Philip Birnbaum,Philip Birnbaum,996060,221593,5,140,1047479,1015080038,Upper East Side-Carnegie Hill,1508,38
M060065,Dag Hammarskjold Plaza,SECOND AVENUE,10017,-73.96992,40.752483,Manhattan,1,Arcade,East side of Second Avenue between East 46th and 47th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1971,Completed,Arcade 2042.00 sf,6,Harry Macklowe,Raymond & Rado and Partners,Raymond & Rado and Partners,992584,213428,4,90,1038896,1013397501,Turtle Bay-East Midtown,1339,7501
M050031,CBS,WEST 52 STREET,10019,-73.978746,40.761227,Manhattan,1,Plaza,East Side of Sixth Avenue between West 52nd and 53rd Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1965,Completed,Plaza 10731.60 sf,5,NULL,Eero Saarinen/Kevin Roche John Dinkeloo and Associates,Eero Saarinen/Kevin Roche John Dinkeloo and Associates,990138,216613,4,104,1081406,1012680001,Midtown-Midtown South,1268,1
M060030,NULL,THIRD AVENUE,10022,-73.971355,40.755635,Manhattan,1,Arcade; Plaza,West side of Third Avenue between East 49th and 50th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Arcade 1626.67 sf; Plaza 6739.25 sf,6,"Cohen, Levy & Wohl",Emery Roth & Sons,Emery Roth & Sons,992186,214576,4,100,1036446,1013040033,Turtle Bay-East Midtown,1304,33
M080051,NULL,EAST 90 STREET,10128,-73.951976,40.78099,Manhattan,1,Plaza,Southeast corner of Third Avenue and East 90th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Plaza 5937.71 sf,8,NULL,"Schuman, Lichtenstein, Claman & Efron","Schuman, Lichtenstein, Claman & Efron",997550,223816,5,154,1048876,1015350003,Yorkville,1535,3
M020006,The Dominick,SPRING STREET,10013,-74.005408,40.725306,Manhattan,1,Arcade; Urban Plaza,Southeast corner of Varick and Spring Streets,24 Hours,Yes,Yes,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Trees on Street; Trees within Space,Yes,None,2010,Completed,Arcade 8616.00 sf; Urban Plaza 1731.00 sf,2,"Bayrock/Sapir Organization, LLC and Trump Luxury Real Estate",Handel Architects,Mathews Nielsen,982751,203525,3,37,1088431,1004917503,SoHo-TriBeCa-Civic Center-Little Italy,491,7503
