Name,Street_Address,Zipcode,Latitude,Longitude,Type,Location,Description,Open_Hours,Seating,Seating_and_Tables,Seating_Description,Food_Service,Food_Service_Description,Art,Restrooms,Restrooms_Description,Indoor_Location,Special_Amenities,Special_Amenities_Description,Signage,Signage_Description,Landscaping_Description,Accessibility,Year_Completed,Construction_Status,Subject_To_Downtown_PLN,Tax_Block_Number,Tax_Lot_Number,Parcel_Number,Current_Police_District,Current_Supervisor_District,Analysis_Neighborhood,Neighborhood
Citygroup Center,1 Sansome St,"28,854",-122.4007979,37.79047982,Atrium,Ground floor,"Built with marble, and covered with glass, this greenhouse provides ample seating and tables.",Restricted Hours,NULL,NULL,Ample seating at tables with movable chairs.,Yes,Café/deli,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Null,NULL,NULL,1983,Null,No,289,3,289003,6,3,8,108
345 California St - West C,345 California St,"28,854",-122.40091,37.79263,Snippet,"Two snippets on either side of building main entrance, connected by walkway.","Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B",24 Hours,Yes,Yes,"16 chairs, 5 tables, 50' linear seating",NULL,Sandwich shop and café,No,No,NULL,NULL,NULL,NULL,No,Null,Planters with a few trees,Direct,1986,Null,Yes,261,17,261017,6,3,8,108
77 Beale St,77 Beale St,"28,855",-122.3962255,37.79173693,Plaza,NULL,Plaza with high planters that provide some landscaping but no seating.,24 Hours,Yes,NULL,"200+ linear feet of planter seating, varying heights",No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"20+ planter trees, open planters, waterfall feature",Direct,1970,Null,No,3711,13,3711013,6,10,8,108
1 Kearny St,1 Kearny St,"28,857",-122.40376,37.78784,Sun Terrace,Rooftop (11th floor),This rooftop terrace has extensive views of Market St. as well as rooftop architecture of nearby buildings. Landscaping and bench seating support this space.,Restricted Hours,Yes,NULL,"10 6' benches, approximately 20 linear seats",No,NULL,No,Yes,Must present ID to guard in lobby to get bathroom key.,NULL,NULL,NULL,Yes,"Three signs: one in front window, one in elevator, and one on rooftop terrace.",Hedges and other types of plants.,"Indirect. Must enter lobby, sign in, and take elevator to roof.",2006,Null,Yes,312,31,312031,6,3,8,19
201 Spear St,201 Spear St,"28,855",-122.3916276,37.79094499,Urban Garden,NULL,Plaza with seating along planters.,24 Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Null,NULL,NULL,1982,Null,No,3741,32,3741032,1,10,8,108
101 California St,101 California Street,"28,860",-122.398,37.793249,Plaza,Street level plaza at California and Davis Streets.,NULL,24 Hours,Yes,NULL,"~1000 linear ft. of seating on terraced steps, many cushions available",Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,Beautifl terraced seating with abundant plantings,Direct,1982,Null,No,263,11,263011,6,3,8,108
55 Second St - B,55 Second St,"28,855",-122.40011,37.78895,Snippet,"The urban garden is at the end of Anthony street, at the Jessie Street entrance to the building",This space is located outside the rear entry of 55 Second Street. It has planter boxes that serve as seating throughout the plaza.,Restricted Hours,Yes,NULL,Movable furniture removed; only ~100 ft. of planter ledge seating,No,NULL,No,Yes,Located on south side of building,NULL,NULL,NULL,Yes,Embedded within concrete bench next to Jessie Street entrance to historic building,"Plants and trees, uses plant wall to shield users from underground parking entrance",NULL,2002,Null,Yes,3708,96,3708096,6,10,8,108
343 Sansome,343 Sansome St,"28,860",-122.40146,37.79374,"View Terrace, Public Sitting Area","15th floor terrace, and on top of the ""old office tower"" (could be one and the same). Also behind the building Leidesdorff Street, the street is closed during lunch hours","This fifteenth floor open space has excellent views of surrounding buildings and streets, as well as the San Francisco Bay. It has various types of seating and landscaping. It also has art in the form of a large sundial.",Restricted Hours,Yes,NULL,"10 tables with 20 movable chairs, 48 linear bench seats",NULL,Food provided along Leidesdorff Street,Yes,Yes, Must ask lobby attendant for key,NULL,NULL,NULL,Yes,At both entrances. It does not have features listed on the sign. Does have the logo.,"Abundant flower planters, 6 shading trees, interesting paving and art, great views",Indirect,1990,Null,Yes,239,20,239020,6,3,8,108
Commercial Street (235 Pine Entitlement),235 Pine St,"28,860",-122.40228,37.79439,Snippet and lunchtime conversion. Commission was satisfied that it met the guidelines.,Commercial street between montgomery and sansome,Linear park improvements along Commercial Street feature various types of trees and concrete linear seating. These spaces are served by many cafés and restaurants along Commercial Street. Additional seating is provided during lunch hours.,Unknown,Yes,NULL,8 public seats (bench and planter seats) and many temporary/restaurant seats,Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"5 street trees, 14 planters",Direct,1984,Null,Yes,267,15,267015,6,3,6,108
1 Market St,1 Market St,"28,855",-122.39372,37.793,Plaza and Atrium,Located along Mission Street at One Market Plaza entrance.,Plaza located on Mission Street along the rear of the building. Some planters with benches.,24 Hours,Yes,NULL,16 small benches,NULL,"Several restaurants and cafes located within One Market Plaza, open M-F business hours",Yes,Yes,Inside One Market Plaza at Mission St. entrance,Yes,NULL,NULL,No,Null,NULL,Indirect,1976,Null,No,3717,7,3717007,6,10,8,108
444 Market  St,444 Market St,"28,860",-122.3986815,37.79167436,Plaza,NULL,Plaza with no seating.,24 Hours,Yes,NULL,"8 movable chairs, 4 tables, 7 linear seats attached to 4 tables, ~50 ft. linear seating on statue ledge",Yes,NULL,Yes,No,NULL,NULL,Yes,Solar charging station,No,Null,Trees create space definition but space is mostly hard paving,Diect,1980,Null,No,266,9,266009,6,3,8,108
560 Mission St,560 Mission St,"28,855",-122.39908,37.78892,"Plaza, Indoor Park",Plaza: NE side of building; indoor park/arcade along anthony st.,"This large plaza features a sculpture in a pool of water, a large bamboo grove, and various forms of seating. It is served by a cafe.",24 Hours,Yes,Yes,64 movable chairs with 15 tables. 134 linear seating on ledges. 30+ linear bench seats,Yes,NULL,Yes,Yes,NULL,Yes,NULL,NULL,Yes,3 signs. One was small on seat of ledge seating. Other was off to the side. One compliant sign on Jessie St entrance.,"bamboo, other trees.",Direct,2002,Null,Yes,3708,95,3708095,6,10,8,108
Rincon Center,121 Spear St,"28,855",-122.39259,37.79208,Indoor Park,In the courtyard between 1 and 2 rincon center,This large plaza space is found in the interior courtyard between Rincon Center 1 and Rincon Center 2. It features several art sculptures and different types of seating.,Restricted Hours,Yes,NULL,"78 on benches and chairs. Also, the café provides some of its own seating.",NULL,Café,Yes,No,NULL,Yes,NULL,NULL,No,Null,"Decomposed granite, trees in corners, minimal plants.",Indirect,1989,Null,Yes,3716,21,3716021,1,10,8,108
555 California St,555 California St,"28,854",-122.4039511,37.7924598,Urban Garden,Located at the elevated plaza along California Street.,NULL,24 Hours,Yes,NULL,Yes- 24 small wooden bench seats located at elevated plaza's eastern edge.,No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"Tall grasses and shrubs, central pool surrounded by plants.",Direct,1969,Null,No,259,26,259026,6,3,8,108
71 Stevenson St,71 Stevenson St,"28,855",-122.3997831,37.78902357,Pedestrian Walkways,Accessible from Stevenson and Jessie St.,"The open space connects Stevenson Street and Jessie Street, including planter boxes, a water fountaing, and seating with table outside the cafe.",24 Hours,Yes,NULL,"Evidence that there was seating during the day, but taken away before 5pm",NULL,Multiple restaurants,No,No,NULL,NULL,NULL,NULL,No,Null,"Marble paving, potted plants, fountain",Direct,1983,Null,No,3708,29,3708029,6,10,8,108
333 Market St,333 Market St,"28,855",-122.3977907,37.79175429,Plaza,NULL,Open plaza with minimal seating on the edge of planters.,24 Hours,Yes,NULL,105' linear seating,Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"1 large tree and shrub planters, mostly concrete",Direct,1979,Null,No,3710,20,3710020,6,10,8,108
